Level	Date and Time	Source	Event ID	Task Category
Information	3/1/2023 4:37:49 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	3/1/2023 4:37:47 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	3/1/2023 4:37:47 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	3/1/2023 4:37:33 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	3/1/2023 4:35:57 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	3/1/2023 4:35:57 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	2/8/2023 3:22:59 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	2/8/2023 3:22:58 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	2/8/2023 3:22:55 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	2/8/2023 3:22:55 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	2/8/2023 3:22:02 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	2/8/2023 3:20:38 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	2/8/2023 3:20:38 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	2/2/2023 9:11:02 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	2/2/2023 9:11:01 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	2/2/2023 9:10:55 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	2/2/2023 9:10:55 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	2/2/2023 9:10:16 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	2/2/2023 9:08:15 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	2/2/2023 9:08:14 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	1/22/2023 4:05:18 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	1/22/2023 4:05:17 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	1/22/2023 4:05:10 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	1/22/2023 4:05:10 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	1/22/2023 4:04:11 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	1/19/2023 7:10:54 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	1/19/2023 7:10:54 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	1/19/2023 8:00:37 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	1/19/2023 8:00:36 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	1/19/2023 8:00:22 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	1/19/2023 8:00:22 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
